name,address,latitude,longitude,hours,website,phone
Padraigs,Dock Road,53.270166,-9.051883,,,
Bar No. 8,"8, Dock Road",53.270258,-9.051669,,https://eight.ie/,
Keane’s,"Main Street, Oranmore",53.267782,-8.930066,,,
Darcy’s Bar,"2, Forster Street, Galway",53.274195,-9.047629,,,
O’Connell’s,"8, Eyre Square, Galway",53.274593,-9.048322,,,+35391563634
MacNeill’s,"Eyre Square, Galway",53.27382,-9.048254,,https://www.thehardiman.ie/hotel-dining/macneills-pub/,
The Dew Drop Inn,"12, Mainguard Street, Galway",53.271904,-9.054344,,https://galwaybaybrewery.com/thedewdrop/,+35391375330
The Office,"181, Upper Salthill Road, Galway",53.259955,-9.075663,,,
Murphy’s,"9, High Street, Galway",53.27195,-9.053571,,,
Sonny Molloy’s,"3, High Street, Galway",53.271619,-9.053787,,https://www.frontdoorpub.com/sonny-molloys/,
The Crane Bar,"2, Sea Road, Galway",53.269854,-9.060451,,http://www.thecranebar.com/,+35391587419
The Boss Doyle’s Bar,"Forster Street, Galway",53.274487,-9.047081,,,
Crowe’s Sports Bar,"90, Bohermore, Galway",53.277414,-9.046541,,,
M.P. Walsh,"55, Dominick Street Lower, Galway",53.271144,-9.057029,,,
Fibber Magee’s,"3, Eyre Square, Galway",53.274971,-9.048838,,,
The Huntsman Inn,"164, College Road, Galway",53.281386,-9.033777,,https://www.huntsmaninn.com/,
The Merlin Bar,Dublin Road,53.276059,-9.003569,,,
The Trappers Inn,,53.288992,-9.023565,,,
The Cellar Bar,"12, Eglinton Street, Galway",53.27418,-9.051481,,https://thecellar.ie/,+353 91 563 966
HYDE Bar,"Forster Street, Galway",53.274876,-9.046477,,https://www.hydebargalway.ie/,+353 91 564 111
Tig Coilí,"24, Mainguard Street, Galway",53.272365,-9.053555,Mo-Th 10:30-23:30; Fr-Sa 10:30-00:30; Su 12:30-23:00,https://tigchoiligalway.com/,+353 91 561 294
Monroe’s,"14, Dominick Street Upper, Galway",53.269995,-9.057684,,https://www.monroes.ie,+35391583397
Harry’s,"77, Bohermore, Galway",53.277771,-9.046476,,https://harrysgalway.ie,
Blake’s Bar,"Eglinton Street, Galway",53.274709,-9.05294,,,
The Bunch of Grapes,"2, High Street, Galway",53.271565,-9.053823,,,+353 91 563 325
The Half Barrel Bar,,53.286636,-8.984486,,,
Frankie's Bar & Bistro,,53.278147,-9.0151,,,
Buddha Bar,"14, Mary Street, Galway",53.274459,-9.053545,"Mo,We-Th 17:00-23:30; Tu off; Fr 17:00-00:00; Sa 15:00-00:00; Su 17:00-23:00",https://www.asianteahouse.ie/,+353 91 563 767
La Viña,"8, Quay Lane, Galway",53.270539,-9.053853,,https://thelanewinebar.com/,
Coyotes,"34, Shop Street, Galway",53.272794,-9.052812,,https://coyotes.ie/,
Point Bar,"Sandyroad, Galway",53.286032,-9.045006,Mo-Su 10:00-23:30,,+353 (0) 91 513200
John Keogh’s,"22-24, Dominick Street Upper, Galway",53.270066,-9.058655,,https://www.johnkeoghs.ie/,+353 (091) 449431
T. J. Clarke,"12, Cross Street Upper, Galway",53.271567,-9.053963,,,
M. Fitzgerald’s,"14, Quay Street, Galway",53.271043,-9.054253,Mo-Su 10:30-23:30,https://1520.ie/,+353 91 569 535
Mary Mullen’s,"12-14, Prospect Hill, Galway",53.275443,-9.048492,,https://www.marymullens.ie,
Seven,"5-7, Bridge Street, Galway",53.271785,-9.054994,,https://sevenbridgestreet.ie/,+353 91 563 804
Busker Browne’s,"3/5, Cross Street Upper, Galway",53.27165,-9.054335,,https://www.buskerbrownes.com,
Tigh Neachtain,"17, Cross Street Upper, Galway",53.271397,-9.053964,Mo-Th 10:30-23:30; Fr-Sa 10:30-00:30,https://www.tighneachtain.com,+353 91 568 820
The Kasbah Wine Bar,"2, Quay Street, Galway",53.271302,-9.054043,Mo-Su 12:00-23:00,,
The Quays,"11, Quay Street, Galway",53.27111,-9.053957,Mo-Su 11:30-02:00,https://quaysgalway.ie,+353 91 568 347
Freeney’s,"19, High Street, Galway",53.2719,-9.053393,Mo-Tu 13:00-23:30; We-Th 12:00-23:30; Fr 11:00-23:30; Sa 10:00-23:30; Su 12:30-23:30,,
The Dáil Bar,"42-44, Middle Street, Galway",53.271425,-9.053432,,https://thedailbar.com,+353 91 563 777
The King’s Head,"15, High Street, Galway",53.272134,-9.053302,,https://www.thekingshead.ie,
Taaffe’s,"20, Shop Street, Galway",53.27237,-9.053138,,,
The Salt House,"4, Raven Terrace, Galway",53.269832,-9.057004,,https://galwaybaybrewery.com/salthouse,+35391441550
Taylor’s,"7, Dominick Street Upper, Galway",53.270161,-9.05834,,,
Róisín Dubh,"8, Dominick Street Upper, Galway",53.270155,-9.058199,,https://www.roisindubh.net/,+35391586540
Bierhaus,"2, Henry Street, Galway",53.270304,-9.05892,Mo-Th 16:00-00:00; Fr 16:00-01:00; Sa 15:00-01:00; Su 15:00-23:00,,
The Blue Note,"3, William Street West, Galway",53.270037,-9.059408,"Su-Th 15:00-24:00, Fr-Sa 15:00-01:00",,+353 91 589 116
Massimo,"10, William Street West, Galway",53.269988,-9.059917,,https://massimogalway.com,+353 91 582 239
The Universal,"9, William Street West, Galway",53.269998,-9.059806,"Mo-Th 16:00-23:30, Fr-Sa 16:00-00:30, Su 16:00-23:00",,+353 91 728 271
Garavan’s,"46, William Street, Galway",53.273304,-9.052005,,,
Sally Long’s,"33, Abbeygate Street Upper, Galway",53.274037,-9.053626,Mo-Th 12:00-23:30; Fr-Sa 12:00-00:30; Su 12:00-23:00,https://www.sallylongs.com/,+353 91 565 756
The Front Door,"8, Cross Street Upper, Galway",53.271664,-9.054103,Mo-Sa 10:30-02:00; Su 11:00-01:00,https://www.frontdoorpub.com/,
Tigh Nora,"6, Cross Street Upper, Galway",53.271715,-9.054146,,https://www.tighnoragalway.com/,
Tigín,"32, Woodquay, Galway",53.275468,-9.05244,,,
Cadell,"31, Woodquay, Galway",53.275545,-9.052439,,,
Barr an Chaladh,"3, Daly's Place, Galway",53.275158,-9.052791,,,+35391895762
McGinn’s Hop House,"18-19, Woodquay, Galway",53.275915,-9.052919,,,+35391374412
Hughes’ Bar,"14, Woodquay, Galway",53.27574,-9.052841,,,
McSwiggans,"3, Eyre Street, Galway",53.275058,-9.052614,,,
Hole In The Wall,"17, Eyre Street, Galway",53.275194,-9.051906,Mo-Th 15:00-23:30; Fr-Sa 15:00-00:30; Su 15:00-23:00,http://holeinthewallbar.ie/,
Daróg,"56, Dominick Street Lower, Galway",53.271068,-9.056832,,,
Kennedy’s,"47, Eyre Square, Galway",53.275358,-9.049415,,,
Screene's on the Square,"9-11, Prospect Hill, Galway",53.275554,-9.048952,,,
The Lane Wine and Cheese,"3, Kirwan's Lane, Galway",53.271393,-9.054377,Mo-Sa 16:00-24:00; Su off,https://thelanewinebar.com/,
The Skeff,"Eyre Square, Galway",53.274128,-9.050001,,https://www.theskeff.ie/,+353 91 563 173
Jack J. Foley’s,"1, Eyre Square, Galway",53.275089,-9.049012,,,
The Ol’ 55,"30, Prospect Hill, Galway",53.275813,-9.048084,,https://ol55bargalway.ie,+35391376864
13 On The Green,"13, Eyre Square, Galway",53.27428,-9.047861,,,
An Púcán,"11, Forster Street, Galway",53.274508,-9.047454,,https://anpucan.ie/,+353 91 376561
Murty Rabbit’s,"22-25, Forster Street, Galway",53.274797,-9.046989,,,
Carroll’s Bar,"39, Dominick Street Lower, Galway",53.270671,-9.057355,,https://www.carrollsbar.ie,
Galway Arms Inn,"65, Dominick Street Lower, Galway",53.271398,-9.056933,,https://galwayarmsinn.com/,+353 91 564 555
O’Connor’s,"141-143, Upper Salthill Road, Galway",53.261099,-9.074609,,https://www.oconnorsbar.com,+35391561757
Beacon,"163, Upper Salthill Road, Galway",53.260483,-9.07523,,,
Trend’s,"Upper Salthill Road, Galway",53.260874,-9.075331,,,
Oslo Bar,"226, Upper Salthill Road, Galway",53.259825,-9.076361,,https://galwaybaybrewery.com/oslo/,+353-91-448390
Atlantic Bar,"Salthill Promenade, Galway",53.258432,-9.085023,,,
Peig’s Bar,"Bohermore, Galway",53.277293,-9.046648,,,
O’Reilly’s Bar and Kitchen,"232-234, Upper Salthill Road, Galway",53.259566,-9.076684,,,+35391522610
Enclosure Bar & Bistro,"Monivea Road, Galway",53.29149,-8.988679,,https://www.claytonhotelgalway.ie/restaurants-bars/enclosure-bar-bistro/,
The Oyster Bar,"Eyre Square, Galway",53.273871,-9.048083,,https://www.thehardiman.ie/hotel-dining/oyster-bar/,
Lonergan’s Atlantic Bar,"258, Upper Salthill Road, Galway",53.258925,-9.078116,,,
Killoran’s Bar,"256, Upper Salthill Road, Galway",53.258964,-9.077997,,,
Cooke’s Thatch Bar,"2, Newcastle Road, Galway",53.272433,-9.062672,,,
Kelehans Bar,,53.296541,-9.093265,,,
McHughs Pub & Restaurant,,53.313547,-8.985813,,,
Grealish's Bar,,53.305104,-8.931375,,,
P.J. Flaherty,"82, Lower Salthill Road, Galway",53.266391,-9.07119,,,+35391373734
The Sliding Rock,"37, Newcastle Road, Galway",53.275665,-9.063154,,https://www.theslidingrock.ie,+353 91 722 131
College Bar - Sult,,53.277925,-9.058384,,,
The Clan Bar,"College Road, Galway",53.279425,-9.039305,,,
